RunID,os,cpu,physical_cores,system_ram_gb,gpu,GPU_ram_mb,cuda_version,training_type,game_name,batch_size,learning_rate,buffer_size,beta,epsilon,lambd,num_epoch,learning_rate_schedule,normalize,hidden_units,num_layers,vis_encode_type,reward_extrinsic_gamma,reward_extrinsic_strength,keep_checkpoints,max_steps,time_horizon,summary_freq
20251122-222059,macOS,Apple M2,8,8589930000,Chipset Model: Apple M2,,,ppo,3DBall,512,0.000279,20480,0.003939,0.186,0.931,3,constant,true,64,2,simple,,,5,2000000,1024,12000
20251122-230218,macOS,Apple M2,8,8589930000,Chipset Model: Apple M2,,,ppo,3DBall,4096,0.000059,163840,0.006767,0.154,0.915,3,linear,true,256,1,simple,,,5,100000,256,12000
20251122-230332,macOS,Apple M2,8,8589930000,Chipset Model: Apple M2,,,ppo,3DBall,2048,0.000141,40960,0.001301,0.265,0.947,3,constant,false,128,1,simple,,,5,500000,128,12000
20251122-231007,macOS,Apple M2,8,8589930000,Chipset Model: Apple M2,,,ppo,3DBall,2048,0.000157,40960,0.000438,0.101,0.922,8,constant,false,64,2,simple,,,5,500000,512,12000
20251122-231737,macOS,Apple M2,8,8589930000,Chipset Model: Apple M2,,,ppo,3DBall,2048,0.000034,81920,0.001771,0.255,0.949,3,linear,false,128,3,simple,,,5,1000000,128,12000
20251122-233113,macOS,Apple M2,8,8589930000,Chipset Model: Apple M2,,,ppo,3DBall,4096,0.000229,327680,0.008808,0.281,0.926,8,linear,true,512,1,simple,,,5,500000,256,12000
20251122-233813,macOS,Apple M2,8,8589930000,Chipset Model: Apple M2,,,ppo,3DBall,4096,0.000223,163840,0.00446,0.139,0.941,5,linear,false,512,3,simple,,,5,500000,1024,12000
20251122-234622,macOS,Apple M2,8,8589930000,Chipset Model: Apple M2,,,ppo,3DBall,2048,0.000099,163840,0.008701,0.233,0.911,4,constant,true,32,1,simple,,,5,1000000,128,12000
20251122-235848,macOS,Apple M2,8,8589930000,Chipset Model: Apple M2,,,ppo,3DBall,2048,0.000024,40960,0.003483,0.137,0.901,10,linear,true,64,3,simple,,,5,1000000,64,12000
20251123-013820,macOS,Apple M2,8,8589930000,Chipset Model: Apple M2,,,ppo,3DBall,512,0.000096,40960,0.002301,0.12,0.915,3,linear,false,512,2,simple,,,5,1000000,256,12000
